         2965999 function calls (2961950 primitive calls) in 8.885 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2338    0.001    0.000    0.001    0.000 sre_parse.py:138(__len__)
     1786    0.001    0.000    0.001    0.000 sre_parse.py:150(append)
      906    0.001    0.000    0.001    0.000 __init__.py:2515(<lambda>)
      980    0.001    0.000    0.003    0.000 posixpath.py:97(splitext)
      302    0.001    0.000    0.040    0.000 __init__.py:2880(_reload_version)
      140    0.001    0.000    0.001    0.000 {_codecs.utf_8_decode}
        1    0.001    0.001    0.001    0.001 index_tricks.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {function seed at 0x7f461916b668}
     3237    0.001    0.000    0.001    0.000 stat.py:24(S_IFMT)
      134    0.001    0.000    0.002    0.000 pyparsing.py:3219(__init__)
     2957    0.001    0.000    0.001    0.000 {method 'partition' of 'str' objects}
     1188    0.001    0.000    0.001    0.000 sre_parse.py:93(__init__)
      401    0.001    0.000    0.002    0.000 genericpath.py:23(exists)
      275    0.001    0.000    0.002    0.000 function_base.py:4519(add_newdoc)
      525    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      403    0.001    0.000    0.005    0.000 __init__.py:1480(has_metadata)
        1    0.001    0.001    0.006    0.006 _internal.py:6(<module>)
       99    0.001    0.000    0.065    0.001 sre_compile.py:567(compile)
      395    0.001    0.000    0.001    0.000 inspect.py:339(getmro)
      609    0.001    0.000    0.022    0.000 posixpath.py:372(realpath)
        1    0.001    0.001    0.047    0.047 requirements.py:4(<module>)
      200    0.001    0.000    0.041    0.000 __init__.py:2688(activate)
      496    0.001    0.000    0.003    0.000 re.py:148(sub)
     2671    0.001    0.000    0.001    0.000 {min}
     2484    0.001    0.000    0.001    0.000 version.py:48(<lambda>)
      471    0.001    0.000    0.008    0.000 pyparsing.py:1144(copy)
       84    0.001    0.000    0.002    0.000 pyparsing.py:3349(__init__)
       99    0.001    0.000    0.041    0.000 sre_parse.py:725(parse)
       66    0.001    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
        1    0.001    0.001    0.001    0.001 npyio.py:1(<module>)
        1    0.001    0.001    0.001    0.001 colordict.py:21(<module>)
        1    0.000    0.000    0.001    0.001 shutil.py:5(<module>)
      610    0.000    0.000    0.005    0.000 posixpath.py:358(abspath)
      302    0.000    0.000    0.025    0.000 {next}
     1219    0.000    0.000    0.001    0.000 posixpath.py:52(isabs)
     1262    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       26    0.000    0.000    0.002    0.000 traceback.py:281(extract_stack)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
     1494    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     2488    0.000    0.000    0.000    0.000 version.py:54(<lambda>)
        1    0.000    0.000    0.006    0.006 decorators.py:15(<module>)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
      239    0.000    0.000    0.005    0.000 __init__.py:1483(get_metadata)
        1    0.000    0.000    0.002    0.002 numerictypes.py:82(<module>)
      492    0.000    0.000    0.003    0.000 __init__.py:1391(safe_name)
        1    0.000    0.000    0.001    0.001 collections.py:11(<module>)
      401    0.000    0.000    0.003    0.000 __init__.py:1582(_has)
       83    0.000    0.000    0.002    0.000 pyparsing.py:1780(__add__)
        1    0.000    0.000    0.000    0.000 sprite.py:67(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:31(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:10(<module>)
     2528    0.000    0.000    0.000    0.000 _structures.py:33(__neg__)
       22    0.000    0.000    0.001    0.000 abc.py:86(__new__)
     1268    0.000    0.000    0.000    0.000 version.py:332(_parse_local_version)
      495    0.000    0.000    0.001    0.000 posixpath.py:112(basename)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
       69    0.000    0.000    0.001    0.000 pyparsing.py:2371(__init__)
        1    0.000    0.000    0.014    0.014 inspect.py:25(<module>)
      117    0.000    0.000    0.013    0.000 {map}
        1    0.000    0.000    0.001    0.001 helper.py:4(<module>)
      185    0.000    0.000    0.000    0.000 sre_parse.py:237(_class_escape)
      723    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
  238/156    0.000    0.000    0.001    0.000 pyparsing.py:131(_ustr)
     1750    0.000    0.000    0.000    0.000 version.py:352(<lambda>)
     1422    0.000    0.000    0.000    0.000 {_sre.getlower}
   131/65    0.000    0.000    0.006    0.000 pyparsing.py:3322(copy)
      485    0.000    0.000    0.000    0.000 urllib.py:1216(<genexpr>)
        1    0.000    0.000    0.001    0.001 polynomial.py:56(<module>)
        1    0.000    0.000    0.004    0.004 tempfile.py:18(<module>)
      499    0.000    0.000    0.000    0.000 stat.py:40(S_ISDIR)
        1    0.000    0.000    0.001    0.001 getlimits.py:3(<module>)
      915    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
       13    0.000    0.000    0.004    0.000 pyparsing.py:2612(__init__)
        1    0.000    0.000    0.001    0.001 pickle.py:25(<module>)
    61/11    0.000    0.000    0.006    0.001 pyparsing.py:3247(leaveWhitespace)
      254    0.000    0.000    0.000    0.000 sre_parse.py:278(_escape)
        1    0.000    0.000    0.002    0.002 markers.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
       82    0.000    0.000    0.001    0.000 pyparsing.py:3678(__init__)
       28    0.000    0.000    0.001    0.000 __init__.py:1951(find_distributions)
        1    0.000    0.000    0.000    0.000 zipfile.py:433(_GenerateCRCTable)
      389    0.000    0.000    0.000    0.000 inspect.py:331(_searchbases)
      201    0.000    0.000    0.042    0.000 __init__.py:3165(<genexpr>)
        1    0.000    0.000    0.011    0.011 __init__.py:7(<module>)
        1    0.000    0.000    0.002    0.002 sysfont.py:21(<module>)
      395    0.000    0.000    0.000    0.000 __init__.py:3042(_always_object)
        1    0.000    0.000    0.011    0.011 tokenize.py:23(<module>)
        1    0.000    0.000    0.000    0.000 message.py:92(Message)
      107    0.000    0.000    0.066    0.001 re.py:192(compile)
     1020    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
     2257    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 _parseaddr.py:7(<module>)
     2042    0.000    0.000    0.000    0.000 __init__.py:2078(__bool__)
       99    0.000    0.000    0.023    0.000 sre_compile.py:552(_code)
        1    0.000    0.000    0.000    0.000 {pygame.display.set_caption}
